06:26:42.648 0x1aa00           j9jit.93       - CG_MTH_S: 0000000000063C68 00007FBC8C1390D4 0000000000000000 [1] java.lang.System.ensureProperties(Z)V (Bytecode PC: 0, Line: 418) invkCD: 999, strtCnt: 0, gblCnt: 1, cpu: 0.0%, 242 bcsz
06:26:42.648 0x1aa00           j9jit.94       - CG_MTH_C: 0000000000063A58 00007FBC8C138C90 0000000000000000 [2] java.lang.System.afterClinitInitialization()V (Bytecode PC: 28, Line: 222) invkCD: 1999, strtCnt: 0, gblCnt: 1, cpu: 0.0%, 227 bcsz
06:26:42.648 0x1aa00           j9jit.94       - CG_MTH_C: 0000000000066220 00007FBC8C13E643 0000000000000000 [3] java.lang.Thread.initialize(ZLjava.lang.ThreadGroup;Ljava.lang.Thread;Ljava.security.AccessControlContext;Z)V (Bytecode PC: 43, Line: 375) invkCD: 1999, strtCnt: 0, gblCnt: 1, cpu: 0.0%, 200 bcsz
06:26:42.648 0x1aa00           j9jit.94       - CG_MTH_C: 0000000000066010 00007FBC8C13E2C2 0000000000000000 [4] java.lang.Thread.<init>(Ljava.lang.String;Ljava.lang.Object;IZ)V (Bytecode PC: 122, Line: 162) invkCD: 1999, strtCnt: 0, gblCnt: 1, cpu: 0.0%, 142 bcsz
06:26:42.650 0x1aa00           j9jit.93       - CG_MTH_S: 00000000000BF880 00007FBC8C1C3428 0000000000000000 [1] java.util.concurrent.ConcurrentHashMap.<clinit>()V (Bytecode PC: 24, Line: 617) invkCD: 1999, strtCnt: 0, gblCnt: 2, cpu: 0.0%, 196 bcsz
06:26:42.650 0x1aa00           j9jit.94       - CG_MTH_C: 00000000000BB200 00007FBC8C1B5519 0000000000000000 [2] java.util.Properties.<init>(Ljava.util.Properties;I)V (Bytecode PC: 9, Line: 207) invkCD: 1999, strtCnt: 0, gblCnt: 2, cpu: 0.0%, 32 bcsz
06:26:42.650 0x1aa00           j9jit.94       - CG_MTH_C: 00000000000BB170 00007FBC8C1B5490 0000000000000000 [3] java.util.Properties.<init>()V (Bytecode PC: 4, Line: 174) invkCD: 1999, strtCnt: 0, gblCnt: 2, cpu: 0.0%, 8 bcsz
06:26:42.650 0x1aa00           j9jit.94       - CG_MTH_C: 0000000000063C68 00007FBC8C1390D8 0000000000000000 [4] java.lang.System.ensureProperties(Z)V (Bytecode PC: 4, Line: 418) invkCD: 15, strtCnt: 0, gblCnt: 2, cpu: 0.0%, 242 bcsz
06:26:42.650 0x1aa00           j9jit.94       - CG_MTH_C: 0000000000063A58 00007FBC8C138C90 0000000000000000 [5] java.lang.System.afterClinitInitialization()V (Bytecode PC: 28, Line: 222) invkCD: 1999, strtCnt: 0, gblCnt: 2, cpu: 0.0%, 227 bcsz
06:26:42.650 0x1aa00           j9jit.94       - CG_MTH_C: 0000000000066220 00007FBC8C13E643 0000000000000000 [6] java.lang.Thread.initialize(ZLjava.lang.ThreadGroup;Ljava.lang.Thread;Ljava.security.AccessControlContext;Z)V (Bytecode PC: 43, Line: 375) invkCD: 1999, strtCnt: 0, gblCnt: 2, cpu: 0.0%, 200 bcsz
06:26:42.650 0x1aa00           j9jit.94       - CG_MTH_C: 0000000000066010 00007FBC8C13E2C2 0000000000000000 [7] java.lang.Thread.<init>(Ljava.lang.String;Ljava.lang.Object;IZ)V (Bytecode PC: 122, Line: 162) invkCD: 1999, strtCnt: 0, gblCnt: 2, cpu: 0.0%, 142 bcsz
06:26:42.652 0x1aa00           j9jit.93       - CG_MTH_S: 00000000000BF880 00007FBC8C1C3469 0000000000000000 [1] java.util.concurrent.ConcurrentHashMap.<clinit>()V (Bytecode PC: 89, Line: 6365) invkCD: 31, strtCnt: 0, gblCnt: 3, cpu: 0.0%, 196 bcsz
06:26:42.652 0x1aa00           j9jit.94       - CG_MTH_C: 00000000000BB200 00007FBC8C1B5519 0000000000000000 [2] java.util.Properties.<init>(Ljava.util.Properties;I)V (Bytecode PC: 9, Line: 207) invkCD: 1999, strtCnt: 0, gblCnt: 3, cpu: 0.0%, 32 bcsz
06:26:42.652 0x1aa00           j9jit.94       - CG_MTH_C: 00000000000BB170 00007FBC8C1B5490 0000000000000000 [3] java.util.Properties.<init>()V (Bytecode PC: 4, Line: 174) invkCD: 1999, strtCnt: 0, gblCnt: 3, cpu: 0.0%, 8 bcsz
06:26:42.652 0x1aa00           j9jit.94       - CG_MTH_C: 0000000000063C68 00007FBC8C1390D8 0000000000000000 [4] java.lang.System.ensureProperties(Z)V (Bytecode PC: 4, Line: 418) invkCD: 15, strtCnt: 0, gblCnt: 3, cpu: 0.0%, 242 bcsz
06:26:42.653 0x1aa00           j9jit.94       - CG_MTH_C: 0000000000063A58 00007FBC8C138C90 0000000000000000 [5] java.lang.System.afterClinitInitialization()V (Bytecode PC: 28, Line: 222) invkCD: 1999, strtCnt: 0, gblCnt: 3, cpu: 0.0%, 227 bcsz
06:26:42.653 0x1aa00           j9jit.94       - CG_MTH_C: 0000000000066220 00007FBC8C13E643 0000000000000000 [6] java.lang.Thread.initialize(ZLjava.lang.ThreadGroup;Ljava.lang.Thread;Ljava.security.AccessControlContext;Z)V (Bytecode PC: 43, Line: 375) invkCD: 1999, strtCnt: 0, gblCnt: 3, cpu: 0.0%, 200 bcsz
06:26:42.653 0x1aa00           j9jit.94       - CG_MTH_C: 0000000000066010 00007FBC8C13E2C2 0000000000000000 [7] java.lang.Thread.<init>(Ljava.lang.String;Ljava.lang.Object;IZ)V (Bytecode PC: 122, Line: 162) invkCD: 1999, strtCnt: 0, gblCnt: 3, cpu: 0.0%, 142 bcsz
06:26:42.654 0x1aa00           j9jit.93       - CG_MTH_S: 00000000000BF160 00007FBC8C1C1C33 0000000000000000 [1] java.util.concurrent.ConcurrentHashMap.transfer([Ljava.util.concurrent.ConcurrentHashMap$Node;[Ljava.util.concurrent.ConcurrentHashMap$Node;)V (Bytecode PC: 79, Line: 2441) invkCD: 999, strtCnt: 0, gblCnt: 4, cpu: 0.0%, 60 bcsz
06:26:42.654 0x1aa00           j9jit.94       - CG_MTH_C: 00000000000BF0D0 00007FBC8C1C18CE 0000000000000000 [2] java.util.concurrent.ConcurrentHashMap.addCount(JI)V (Bytecode PC: 266, Line: 2354) invkCD: 988, strtCnt: 0, gblCnt: 4, cpu: 0.0%, 23 bcsz
06:26:42.654 0x1aa00           j9jit.94       - CG_MTH_C: 00000000000BEA40 00007FBC8C1BF30B 0000000000000000 [3] java.util.concurrent.ConcurrentHashMap.putVal(Ljava.lang.Object;Ljava.lang.Object;Z)Ljava.lang.Object; (Bytecode PC: 427, Line: 1082) invkCD: 988, strtCnt: 0, gblCnt: 4, cpu: 0.0%, 176 bcsz
06:26:42.654 0x1aa00           j9jit.94       - CG_MTH_C: 00000000000BEA10 00007FBC8C1BF134 0000000000000000 [4] java.util.concurrent.ConcurrentHashMap.put(Ljava.lang.Object;Ljava.lang.Object;)Ljava.lang.Object; (Bytecode PC: 4, Line: 1013) invkCD: 1988, strtCnt: 0, gblCnt: 4, cpu: 0.0%, 8 bcsz
06:26:42.654 0x1aa00           j9jit.94       - CG_MTH_C: 00000000000BB830 00007FBC8C1B67BA 0000000000000000 [5] java.util.Properties.put(Ljava.lang.Object;Ljava.lang.Object;)Ljava.lang.Object; (Bytecode PC: 6, Line: 1340) invkCD: 1988, strtCnt: 0, gblCnt: 4, cpu: 0.0%, 10 bcsz
06:26:42.654 0x1aa00           j9jit.94       - CG_MTH_C: 0000000000063C68 00007FBC8C13914E 0000000000000000 [6] java.lang.System.ensureProperties(Z)V (Bytecode PC: 122, Line: 439) invkCD: 15, strtCnt: 0, gblCnt: 4, cpu: 0.0%, 242 bcsz
06:26:42.654 0x1aa00           j9jit.94       - CG_MTH_C: 0000000000063A58 00007FBC8C138C90 0000000000000000 [7] java.lang.System.afterClinitInitialization()V (Bytecode PC: 28, Line: 222) invkCD: 1999, strtCnt: 0, gblCnt: 4, cpu: 0.0%, 227 bcsz
06:26:42.654 0x1aa00           j9jit.94       - CG_MTH_C: 0000000000066220 00007FBC8C13E643 0000000000000000 [8] java.lang.Thread.initialize(ZLjava.lang.ThreadGroup;Ljava.lang.Thread;Ljava.security.AccessControlContext;Z)V (Bytecode PC: 43, Line: 375) invkCD: 1999, strtCnt: 0, gblCnt: 4, cpu: 0.0%, 200 bcsz
06:26:42.655 0x1aa00           j9jit.94       - CG_MTH_C: 0000000000066010 00007FBC8C13E2C2 0000000000000000 [9] java.lang.Thread.<init>(Ljava.lang.String;Ljava.lang.Object;IZ)V (Bytecode PC: 122, Line: 162) invkCD: 1999, strtCnt: 0, gblCnt: 4, cpu: 0.0%, 142 bcsz
06:26:42.656 0x1aa00           j9jit.93       - CG_MTH_S: 00000000000C5FF0 00007FBC8C1D18BB 0000000000000000 [1] java.lang.VersionProps.init()V (Bytecode PC: 35, Line: 96) invkCD: 1999, strtCnt: 0, gblCnt: 5, cpu: 0.0%, 76 bcsz
06:26:42.656 0x1aa00           j9jit.94       - CG_MTH_C: 00000000000C6200 00007FBC8C1D1DE1 0000000000000000 [2] java.lang.VersionProps.<clinit>()V (Bytecode PC: 25, Line: 88) invkCD: 1999, strtCnt: 0, gblCnt: 5, cpu: 0.0%, 29 bcsz
06:26:42.656 0x1aa00           j9jit.94       - CG_MTH_C: 0000000000063C68 00007FBC8C13916A 0000000000000000 [3] java.lang.System.ensureProperties(Z)V (Bytecode PC: 150, Line: 449) invkCD: 15, strtCnt: 0, gblCnt: 5, cpu: 0.0%, 242 bcsz
06:26:42.656 0x1aa00           j9jit.94       - CG_MTH_C: 0000000000063A58 00007FBC8C138C90 0000000000000000 [4] java.lang.System.afterClinitInitialization()V (Bytecode PC: 28, Line: 222) invkCD: 1999, strtCnt: 0, gblCnt: 5, cpu: 0.0%, 227 bcsz
06:26:42.656 0x1aa00           j9jit.94       - CG_MTH_C: 0000000000066220 00007FBC8C13E643 0000000000000000 [5] java.lang.Thread.initialize(ZLjava.lang.ThreadGroup;Ljava.lang.Thread;Ljava.security.AccessControlContext;Z)V (Bytecode PC: 43, Line: 375) invkCD: 1999, strtCnt: 0, gblCnt: 5, cpu: 0.0%, 200 bcsz
06:26:42.657 0x1aa00           j9jit.94       - CG_MTH_C: 0000000000066010 00007FBC8C13E2C2 0000000000000000 [6] java.lang.Thread.<init>(Ljava.lang.String;Ljava.lang.Object;IZ)V (Bytecode PC: 122, Line: 162) invkCD: 1999, strtCnt: 0, gblCnt: 5, cpu: 0.0%, 142 bcsz
