19:23:02.637*0x1aa00           j9jit.15       - MTH_S: 0000000000052938 00007F1D7011FE78 0000000000000000 [1] com.ibm.jit.JITHelpers.<clinit> (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 1, cpu: 0.0%, 82 bcsz
19:23:02.637 0x1aa00           j9jit.16       - MTH_C: 0000000000050018 00007F1D5003597A 0000000000000000 [2] java.lang.String.<clinit> (Bytecode PC: 22) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 1, cpu: 0.0%, 219 bcsz
19:23:02.638 0x1aa00           j9jit.15       - MTH_S: 0000000000058600 00007F1D70127B78 0000000000000000 [1] jdk.internal.misc.Unsafe.<clinit> (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 2, cpu: 0.0%, 202 bcsz
19:23:02.638 0x1aa00           j9jit.16       - MTH_C: 0000000000052938 00007F1D7011FEAE 0000000000000000 [2] com.ibm.jit.JITHelpers.<clinit> (Bytecode PC: 54) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 2, cpu: 0.0%, 82 bcsz
19:23:02.638 0x1aa00           j9jit.16       - MTH_C: 0000000000050018 00007F1D5003597A 0000000000000000 [3] java.lang.String.<clinit> (Bytecode PC: 22) invokeCountDown: 15, startSampleCount: 0, gblSampleCount: 2, cpu: 0.0%, 219 bcsz
19:23:02.648 0x1aa00           j9jit.15       - MTH_S: 00000000000AA658 00007F1D7019A158 0000000000000000 [1] java.lang.Math.<clinit> (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 3, cpu: 0.0%, 53 bcsz
19:23:02.648 0x1aa00           j9jit.16       - MTH_C: 00000000000A1B28 00007F1D70187DA8 0000000000000000 [2] java.util.HashSet.<init> (Bytecode PC: 24) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 3, cpu: 0.0%, 40 bcsz
19:23:02.648 0x1aa00           j9jit.16       - MTH_C: 000000000009F478 00007F1D70187418 0000000000000000 [3] java.lang.invoke.MethodTypeHelper.<clinit> (Bytecode PC: 56) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 3, cpu: 0.0%, 142 bcsz
19:23:02.653 0x1aa00           j9jit.15       - MTH_S: 00000000000BEF80 00007F1D701C3420 0000000000000000 [1] java.util.concurrent.ConcurrentHashMap.<clinit> (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 4, cpu: 0.0%, 196 bcsz
19:23:02.653 0x1aa00           j9jit.16       - MTH_C: 00000000000BA920 00007F1D701B54B1 0000000000000000 [2] java.util.Properties.<init> (Bytecode PC: 9) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 4, cpu: 0.0%, 32 bcsz
19:23:02.653 0x1aa00           j9jit.16       - MTH_C: 00000000000BA890 00007F1D701B5428 0000000000000000 [3] java.util.Properties.<init> (Bytecode PC: 4) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 4, cpu: 0.0%, 8 bcsz
19:23:02.653 0x1aa00           j9jit.16       - MTH_C: 0000000000063C68 00007F1D701390E8 0000000000000000 [4] java.lang.System.ensureProperties (Bytecode PC: 4) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 4, cpu: 0.0%, 242 bcsz
19:23:02.653 0x1aa00           j9jit.16       - MTH_C: 0000000000063A58 00007F1D70138CA0 0000000000000000 [5] java.lang.System.afterClinitInitialization (Bytecode PC: 28) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 4, cpu: 0.0%, 227 bcsz
19:23:02.653 0x1aa00           j9jit.16       - MTH_C: 0000000000066220 00007F1D7013E653 0000000000000000 [6] java.lang.Thread.initialize (Bytecode PC: 43) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 4, cpu: 0.0%, 200 bcsz
19:23:02.653 0x1aa00           j9jit.16       - MTH_C: 0000000000066010 00007F1D7013E2D2 0000000000000000 [7] java.lang.Thread.<init> (Bytecode PC: 122) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 4, cpu: 0.0%, 142 bcsz
19:23:02.654 0x1aa00           j9jit.15       - MTH_S: 00000000000C38E8 00007F1D701D0258 0000000000000000 [1] java.util.concurrent.ConcurrentHashMap$Node.<init> (Bytecode PC: 0) invokeCountDown: 1997, startSampleCount: 0, gblSampleCount: 5, cpu: 0.0%, 20 bcsz
19:23:02.655 0x1aa00           j9jit.16       - MTH_C: 00000000000BE140 00007F1D701BF1CB 0000000000000000 [2] java.util.concurrent.ConcurrentHashMap.putVal (Bytecode PC: 91) invokeCountDown: 997, startSampleCount: 0, gblSampleCount: 5, cpu: 0.0%, 176 bcsz
19:23:02.655 0x1aa00           j9jit.16       - MTH_C: 00000000000BE110 00007F1D701BF144 0000000000000000 [3] java.util.concurrent.ConcurrentHashMap.put (Bytecode PC: 4) invokeCountDown: 1997, startSampleCount: 0, gblSampleCount: 5, cpu: 0.0%, 8 bcsz
19:23:02.655 0x1aa00           j9jit.16       - MTH_C: 00000000000BAF50 00007F1D701B6752 0000000000000000 [4] java.util.Properties.put (Bytecode PC: 6) invokeCountDown: 1997, startSampleCount: 0, gblSampleCount: 5, cpu: 0.0%, 10 bcsz
19:23:02.655 0x1aa00           j9jit.16       - MTH_C: 0000000000063C68 00007F1D7013910C 0000000000000000 [5] java.lang.System.ensureProperties (Bytecode PC: 40) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 5, cpu: 0.0%, 242 bcsz
19:23:02.655 0x1aa00           j9jit.16       - MTH_C: 0000000000063A58 00007F1D70138CA0 0000000000000000 [6] java.lang.System.afterClinitInitialization (Bytecode PC: 28) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 5, cpu: 0.0%, 227 bcsz
19:23:02.655 0x1aa00           j9jit.16       - MTH_C: 0000000000066220 00007F1D7013E653 0000000000000000 [7] java.lang.Thread.initialize (Bytecode PC: 43) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 5, cpu: 0.0%, 200 bcsz
19:23:02.655 0x1aa00           j9jit.16       - MTH_C: 0000000000066010 00007F1D7013E2D2 0000000000000000 [8] java.lang.Thread.<init> (Bytecode PC: 122) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 5, cpu: 0.0%, 142 bcsz
19:23:02.657 0x1aa00           j9jit.15       - MTH_S: 000000000004F4D8 00007F1D5003385C 0000000000000000 [1] java.lang.String.startsWith (Bytecode PC: 0) invokeCountDown: 1998, startSampleCount: 0, gblSampleCount: 6, cpu: 0.0%, 7 bcsz
19:23:02.657 0x1aa00           j9jit.16       - MTH_C: 00000000000C5350 00007F1D701D1E9C 0000000000000000 [2] java.lang.VersionProps.<clinit> (Bytecode PC: 4) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 6, cpu: 0.0%, 29 bcsz
19:23:02.657 0x1aa00           j9jit.16       - MTH_C: 0000000000063C68 00007F1D7013917A 0000000000000000 [3] java.lang.System.ensureProperties (Bytecode PC: 150) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 6, cpu: 0.0%, 242 bcsz
