19:23:03.053*0x1aa00           j9jit.15       - MTH_S: 0000000000052938 00007F9B1411FE78 0000000000000000 [1] com.ibm.jit.JITHelpers.<clinit> (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 1, cpu: 0.0%, 82 bcsz
19:23:03.053 0x1aa00           j9jit.16       - MTH_C: 0000000000050018 00007F9AF150997A 0000000000000000 [2] java.lang.String.<clinit> (Bytecode PC: 22) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 1, cpu: 0.0%, 219 bcsz
19:23:03.054 0x1aa00           j9jit.15       - MTH_S: 000000000005DB40 00007F9B1412E77C 0000000000000000 [1] java.util.Objects.requireNonNull (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 2, cpu: 0.0%, 14 bcsz
19:23:03.054 0x1aa00           j9jit.16       - MTH_C: 0000000000055090 00007F9B14122E61 0000000000000000 [2] jdk.internal.misc.Unsafe.arrayBaseOffset (Bytecode PC: 1) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 2, cpu: 0.0%, 11 bcsz
19:23:03.054 0x1aa00           j9jit.16       - MTH_C: 0000000000058600 00007F9B14127B8F 0000000000000000 [3] jdk.internal.misc.Unsafe.<clinit> (Bytecode PC: 23) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 2, cpu: 0.0%, 202 bcsz
19:23:03.054 0x1aa00           j9jit.16       - MTH_C: 0000000000052938 00007F9B1411FEAE 0000000000000000 [4] com.ibm.jit.JITHelpers.<clinit> (Bytecode PC: 54) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 2, cpu: 0.0%, 82 bcsz
19:23:03.054 0x1aa00           j9jit.16       - MTH_C: 0000000000050018 00007F9AF150997A 0000000000000000 [5] java.lang.String.<clinit> (Bytecode PC: 22) invokeCountDown: 15, startSampleCount: 0, gblSampleCount: 2, cpu: 0.0%, 219 bcsz
19:23:03.056 0x1aa00           j9jit.15       - MTH_S: 0000000000051F78 00007F9B1411ED64 0000000000000000 [1] com.ibm.jit.JITHelpers.putCharInArrayByIndex (Bytecode PC: 0) invokeCountDown: 1751, startSampleCount: 0, gblSampleCount: 3, cpu: 0.0%, 173 bcsz
19:23:03.056 0x1aa00           j9jit.16       - MTH_C: 0000000000050018 00007F9AF15099D3 0000000000000000 [2] java.lang.String.<clinit> (Bytecode PC: 111) invokeCountDown: 15, startSampleCount: 0, gblSampleCount: 3, cpu: 0.0%, 219 bcsz
19:23:03.065 0x1aa00           j9jit.15       - MTH_S: 00000000000AC6C8 00007F9B141A0068 0000000000000000 [1] java.util.Collections.<clinit> (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 4, cpu: 0.0%, 31 bcsz
19:23:03.065 0x1aa00           j9jit.16       - MTH_C: 000000000009F478 00007F9B1418741B 0000000000000000 [2] java.lang.invoke.MethodTypeHelper.<clinit> (Bytecode PC: 59) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 4, cpu: 0.0%, 142 bcsz
19:23:03.067 0x1aa00           j9jit.15       - MTH_S: 00000000000B8E18 00007F9B141B32F0 0000000000000000 [1] jdk.internal.misc.SharedSecrets.<clinit> (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 5, cpu: 0.0%, 7 bcsz
19:23:03.067 0x1aa00           j9jit.16       - MTH_C: 0000000000063A58 00007F9B14138C9C 0000000000000000 [2] java.lang.System.afterClinitInitialization (Bytecode PC: 24) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 5, cpu: 0.0%, 227 bcsz
19:23:03.067 0x1aa00           j9jit.16       - MTH_C: 0000000000066220 00007F9B1413E653 0000000000000000 [3] java.lang.Thread.initialize (Bytecode PC: 43) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 5, cpu: 0.0%, 200 bcsz
19:23:03.067 0x1aa00           j9jit.16       - MTH_C: 0000000000066010 00007F9B1413E2D2 0000000000000000 [4] java.lang.Thread.<init> (Bytecode PC: 122) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 5, cpu: 0.0%, 142 bcsz
19:23:03.069 0x1aa00           j9jit.15       - MTH_S: 00000000000C3DC8 00007F9B141CE568 0000000000000000 [1] jdk.internal.reflect.ReflectionFactory.<clinit> (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 6, cpu: 0.0%, 44 bcsz
19:23:03.069 0x1aa00           j9jit.16       - MTH_C: 00000000000C1C00 00007F9B141C9DC4 0000000000000000 [2] jdk.internal.reflect.ReflectionFactory$GetReflectionFactoryAction.run (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 6, cpu: 0.0%, 4 bcsz
