19:22:38.021*0x1aa00           j9jit.15       - MTH_S: 0000000000052938 00007F6C6411FE78 0000000000000000 [1] com.ibm.jit.JITHelpers.<clinit> (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 1, cpu: 0.0%, 82 bcsz
19:22:38.021 0x1aa00           j9jit.16       - MTH_C: 0000000000050018 00007F6C33B3B97A 0000000000000000 [2] java.lang.String.<clinit> (Bytecode PC: 22) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 1, cpu: 0.0%, 219 bcsz
19:22:38.022 0x1aa00           j9jit.15       - MTH_S: 0000000000058600 00007F6C64127B78 0000000000000000 [1] jdk.internal.misc.Unsafe.<clinit> (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 2, cpu: 0.0%, 202 bcsz
19:22:38.022 0x1aa00           j9jit.16       - MTH_C: 0000000000052938 00007F6C6411FEAE 0000000000000000 [2] com.ibm.jit.JITHelpers.<clinit> (Bytecode PC: 54) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 2, cpu: 0.0%, 82 bcsz
19:22:38.022 0x1aa00           j9jit.16       - MTH_C: 0000000000050018 00007F6C33B3B97A 0000000000000000 [3] java.lang.String.<clinit> (Bytecode PC: 22) invokeCountDown: 15, startSampleCount: 0, gblSampleCount: 2, cpu: 0.0%, 219 bcsz
19:22:38.024 0x1aa00           j9jit.15       - MTH_S: 0000000000051F78 00007F6C6411ED64 0000000000000000 [1] com.ibm.jit.JITHelpers.putCharInArrayByIndex (Bytecode PC: 0) invokeCountDown: 1946, startSampleCount: 0, gblSampleCount: 3, cpu: 0.0%, 173 bcsz
19:22:38.025 0x1aa00           j9jit.16       - MTH_C: 0000000000050018 00007F6C33B3B9D3 0000000000000000 [2] java.lang.String.<clinit> (Bytecode PC: 111) invokeCountDown: 15, startSampleCount: 0, gblSampleCount: 3, cpu: 0.0%, 219 bcsz
19:22:38.038 0x1aa00           j9jit.15       - MTH_S: 00000000000A4F10 00007F6C64192C80 0000000000000000 [1] java.util.Arrays.<clinit> (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 4, cpu: 0.0%, 17 bcsz
19:22:38.038 0x1aa00           j9jit.16       - MTH_C: 000000000009F478 00007F6C64187415 0000000000000000 [2] java.lang.invoke.MethodTypeHelper.<clinit> (Bytecode PC: 53) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 4, cpu: 0.0%, 142 bcsz
19:22:38.039 0x1aa00           j9jit.15       - MTH_S: 00000000000AFE10 00007F6C641A465C 0000000000000000 [1] java.util.Collections$UnmodifiableSet.<init> (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 5, cpu: 0.0%, 6 bcsz
19:22:38.040 0x1aa00           j9jit.16       - MTH_C: 00000000000ABCA8 00007F6C6419F339 0000000000000000 [2] java.util.Collections.unmodifiableSet (Bytecode PC: 5) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 5, cpu: 0.0%, 9 bcsz
19:22:38.040 0x1aa00           j9jit.16       - MTH_C: 000000000009F478 00007F6C6418741B 0000000000000000 [3] java.lang.invoke.MethodTypeHelper.<clinit> (Bytecode PC: 59) invokeCountDown: 31, startSampleCount: 0, gblSampleCount: 5, cpu: 0.0%, 142 bcsz
19:22:38.044 0x1aa00           j9jit.15       - MTH_S: 00000000000BF880 00007F6C641C3420 0000000000000000 [1] java.util.concurrent.ConcurrentHashMap.<clinit> (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 6, cpu: 0.0%, 196 bcsz
19:22:38.044 0x1aa00           j9jit.16       - MTH_C: 00000000000BB200 00007F6C641B5529 0000000000000000 [2] java.util.Properties.<init> (Bytecode PC: 9) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 6, cpu: 0.0%, 32 bcsz
19:22:38.044 0x1aa00           j9jit.16       - MTH_C: 00000000000BB170 00007F6C641B54A0 0000000000000000 [3] java.util.Properties.<init> (Bytecode PC: 4) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 6, cpu: 0.0%, 8 bcsz
19:22:38.044 0x1aa00           j9jit.16       - MTH_C: 0000000000063C68 00007F6C641390E8 0000000000000000 [4] java.lang.System.ensureProperties (Bytecode PC: 4) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 6, cpu: 0.0%, 242 bcsz
19:22:38.044 0x1aa00           j9jit.16       - MTH_C: 0000000000063A58 00007F6C64138CA0 0000000000000000 [5] java.lang.System.afterClinitInitialization (Bytecode PC: 28) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 6, cpu: 0.0%, 227 bcsz
19:22:38.044 0x1aa00           j9jit.16       - MTH_C: 0000000000066220 00007F6C6413E653 0000000000000000 [6] java.lang.Thread.initialize (Bytecode PC: 43) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 6, cpu: 0.0%, 200 bcsz
19:22:38.044 0x1aa00           j9jit.16       - MTH_C: 0000000000066010 00007F6C6413E2D2 0000000000000000 [7] java.lang.Thread.<init> (Bytecode PC: 122) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 6, cpu: 0.0%, 142 bcsz
19:22:38.046 0x1aa00           j9jit.15       - MTH_S: 0000000000063C68 00007F6C64139156 0000000000000000 [1] java.lang.System.ensureProperties (Bytecode PC: 114) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 7, cpu: 0.0%, 242 bcsz
19:22:38.046 0x1aa00           j9jit.16       - MTH_C: 0000000000063A58 00007F6C64138CA0 0000000000000000 [2] java.lang.System.afterClinitInitialization (Bytecode PC: 28) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 7, cpu: 0.0%, 227 bcsz
19:22:38.046 0x1aa00           j9jit.16       - MTH_C: 0000000000066220 00007F6C6413E653 0000000000000000 [3] java.lang.Thread.initialize (Bytecode PC: 43) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 7, cpu: 0.0%, 200 bcsz
19:22:38.046 0x1aa00           j9jit.16       - MTH_C: 0000000000066010 00007F6C6413E2D2 0000000000000000 [4] java.lang.Thread.<init> (Bytecode PC: 122) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 7, cpu: 0.0%, 142 bcsz
19:22:38.048 0x1aa00           j9jit.15       - MTH_S: 00000000000C7C48 00007F6C641D7240 0000000000000000 [1] java.lang.AbstractStringBuilder.<clinit> (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 8, cpu: 0.0%, 7 bcsz
19:22:38.049 0x1aa00           j9jit.16       - MTH_C: 0000000000063C68 00007F6C6413919A 0000000000000000 [2] java.lang.System.ensureProperties (Bytecode PC: 182) invokeCountDown: 15, startSampleCount: 0, gblSampleCount: 8, cpu: 0.0%, 242 bcsz
19:22:38.049 0x1aa00           j9jit.16       - MTH_C: 0000000000063A58 00007F6C64138CA0 0000000000000000 [3] java.lang.System.afterClinitInitialization (Bytecode PC: 28) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 8, cpu: 0.0%, 227 bcsz
19:22:38.049 0x1aa00           j9jit.16       - MTH_C: 0000000000066220 00007F6C6413E653 0000000000000000 [4] java.lang.Thread.initialize (Bytecode PC: 43) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 8, cpu: 0.0%, 200 bcsz
19:22:38.049 0x1aa00           j9jit.16       - MTH_C: 0000000000066010 00007F6C6413E2D2 0000000000000000 [5] java.lang.Thread.<init> (Bytecode PC: 122) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 8, cpu: 0.0%, 142 bcsz
19:22:38.050 0x1aa00           j9jit.15       - MTH_S: 000000000004F3E8 00007F6C33B39390 0000000000000000 [1] java.lang.String.lengthInternal (Bytecode PC: 0) invokeCountDown: 1841, startSampleCount: 0, gblSampleCount: 9, cpu: 0.0%, 25 bcsz
19:22:38.050 0x1aa00           j9jit.16       - MTH_C: 000000000004EF68 00007F6C33B38736 0000000000000000 [2] java.lang.String.equals (Bytecode PC: 22) invokeCountDown: 1956, startSampleCount: 0, gblSampleCount: 9, cpu: 0.0%, 131 bcsz
19:22:38.050 0x1aa00           j9jit.16       - MTH_C: 0000000000045E20 00007F6C33B2B1AC 0000000000000000 [3] java.lang.Class.getPrimitiveClass (Bytecode PC: 4) invokeCountDown: 1991, startSampleCount: 0, gblSampleCount: 9, cpu: 0.0%, 223 bcsz
19:22:38.050 0x1aa00           j9jit.16       - MTH_C: 00000000000D0B88 00007F6C641DD0BA 0000000000000000 [4] java.lang.Void.<clinit> (Bytecode PC: 2) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 9, cpu: 0.0%, 9 bcsz
19:22:38.050 0x1aa00           j9jit.16       - MTH_C: 00000000000D0470 00007F6C641BC479 0000000000000000 [5] java.lang.reflect.Array.newInstance (Bytecode PC: 29) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 9, cpu: 0.0%, 49 bcsz
19:22:38.050 0x1aa00           j9jit.16       - MTH_C: 00000000000CE0F0 00007F6C641DC556 0000000000000000 [6] java.util.concurrent.ConcurrentHashMap$CollectionView.toArray (Bytecode PC: 50) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 9, cpu: 0.0%, 204 bcsz
